iter	MultiClass
0	1.083365809
1	1.069328476
2	1.056451054
3	1.045981071
4	1.035074617
5	1.024621587
6	1.016759444
7	1.009575988
8	1.002109816
9	0.9940166432
10	0.9864952574
11	0.9806229248
12	0.9743177511
13	0.9690627536
14	0.9643405839
15	0.9593895499
16	0.9551213359
17	0.9483662296
18	0.9427908096
19	0.9374162995
20	0.9340652726
21	0.9302287616
22	0.9242082518
23	0.9186190844
24	0.9140567603
25	0.910451933
26	0.905100613
27	0.9008657511
28	0.8965386512
29	0.8940229571
30	0.8893644745
31	0.8872023221
32	0.8814407748
33	0.8778618505
34	0.874684312
35	0.8716075871
36	0.8690049701
37	0.8651373398
38	0.8596060891
39	0.8563874896
40	0.8524932757
41	0.8485639317
42	0.8458063046
43	0.8403822248
44	0.8367938196
45	0.8341939576
46	0.8308646672
47	0.826917063
48	0.8251839657
49	0.8206061156
50	0.816351615
51	0.8125775781
52	0.810060467
53	0.8059168374
54	0.8015524586
55	0.796540737
56	0.792338001
57	0.788764358
58	0.7866120079
59	0.7820749284
60	0.7788942989
61	0.775140052
62	0.7705579051
63	0.767411893
64	0.7642552831
65	0.7612788592
66	0.7583648505
67	0.755038625
68	0.7505837987
69	0.7474942588
70	0.7444486261
71	0.74174559
72	0.7395401789
73	0.7362375469
74	0.7332650767
75	0.7298197419
76	0.7276731492
77	0.7251479864
78	0.7224094356
79	0.7193372763
80	0.7170802577
81	0.7135271626
82	0.7114298104
83	0.7076265698
84	0.7057491527
85	0.7022318518
86	0.698936762
87	0.6966940193
88	0.69527849
89	0.693775611
90	0.6916971235
91	0.6901325967
92	0.6864091674
93	0.6835995563
94	0.6799079027
95	0.6775372992
96	0.6751534091
97	0.6736263135
98	0.6697894656
99	0.667720514
100	0.6645573923
101	0.6620690705
102	0.6601346692
103	0.6580443092
104	0.6552868903
105	0.6524483143
106	0.650066637
107	0.6477267937
108	0.6451774235
109	0.6420417829
110	0.6397570297
111	0.6382021816
112	0.6354018311
113	0.6329198962
114	0.6292065591
115	0.6275346788
116	0.6264191464
117	0.6233922933
118	0.6208748234
119	0.6194335435
120	0.6162999094
121	0.6146366952
122	0.6122858603
123	0.6093457729
124	0.6070479799
125	0.6048162682
126	0.602335946
127	0.6001226449
128	0.5981873079
129	0.5952862204
130	0.5928714217
131	0.5915396135
132	0.5889901274
133	0.5864577623
134	0.5839534151
135	0.582612937
136	0.5801077527
137	0.5777220816
138	0.5762663845
139	0.5739136935
140	0.5714187764
141	0.569219564
142	0.5669153777
143	0.5657808194
144	0.5638244946
145	0.5616813567
