iter	Passed	Remaining
0	1	950
1	3	780
2	4	728
3	5	698
4	6	674
5	7	656
6	9	642
7	10	637
8	11	636
9	12	629
10	14	626
11	15	623
12	16	618
13	17	615
14	19	614
15	20	611
16	21	608
17	22	605
18	23	604
19	25	603
20	26	600
21	27	597
22	28	596
23	30	595
24	31	594
25	32	591
26	33	590
27	34	587
28	36	586
29	37	584
30	38	581
31	39	579
32	40	579
33	42	577
34	43	575
35	44	573
36	45	571
37	46	570
38	48	569
39	49	568
40	50	566
41	52	567
42	53	565
43	54	564
44	55	562
45	56	560
46	58	560
47	59	559
48	60	557
49	61	556
50	63	555
51	64	555
52	65	554
53	66	552
54	68	551
55	69	550
56	70	548
57	71	547
58	73	546
59	74	545
60	75	543
61	76	541
62	77	540
63	79	538
64	80	536
65	81	535
66	82	534
67	83	533
68	85	531
69	86	530
70	87	528
71	88	528
72	90	527
73	91	526
74	92	525
75	93	523
76	95	522
77	96	521
78	97	520
79	98	518
80	99	517
81	101	515
82	102	515
83	103	514
84	104	512
85	106	511
86	107	509
87	108	508
88	109	506
89	110	505
90	112	503
91	113	502
92	114	500
93	115	499
94	116	497
95	118	496
96	119	495
97	120	493
98	121	492
99	122	490
100	123	489
101	125	488
102	126	486
103	127	485
104	128	484
105	129	482
106	131	481
107	132	480
108	133	479
109	134	478
110	136	476
111	137	475
112	138	474
113	139	473
114	141	472
115	142	470
116	143	469
117	144	468
118	145	466
119	147	466
120	148	465
121	149	464
122	151	463
123	152	462
124	153	461
125	155	460
126	156	458
127	157	457
128	158	456
129	159	454
130	161	454
131	162	453
132	163	451
133	164	450
134	166	449
135	167	447
136	168	446
137	169	445
138	170	443
139	172	442
140	173	441
141	174	439
142	175	438
143	176	437
144	178	436
145	179	434
146	180	433
147	181	431
148	182	430
149	184	429
150	185	428
151	186	427
152	188	426
153	189	425
154	190	424
155	191	422
156	193	422
157	194	420
158	195	419
159	196	418
160	197	416
161	199	415
162	200	414
163	201	413
164	202	411
165	204	410
166	205	409
167	206	407
168	207	406
169	208	405
170	210	404
171	211	402
172	212	401
173	213	399
174	214	398
175	215	397
176	217	396
177	218	394
178	219	393
179	220	392
180	221	391
181	223	389
182	224	388
183	225	387
184	226	385
185	227	384
186	229	383
187	230	382
188	231	380
189	232	379
190	234	378
191	235	377
192	236	376
193	237	375
194	239	373
195	240	372
196	241	371
197	242	370
198	243	368
199	245	367
200	246	366
201	247	364
202	248	363
203	249	362
204	251	361
205	252	360
206	253	358
207	254	357
208	255	356
209	257	355
210	258	353
211	259	352
212	260	351
213	261	350
214	263	348
215	264	347
216	265	346
217	266	344
218	267	343
219	268	342
220	270	341
221	271	339
222	272	338
223	273	337
224	275	336
